"study","es_id","yi","vi","target_group","format","diagnosis","type","control","region","risk_of_bias"
"johansson, 2012b",436,0.826122033483044,0.0580639364281102,"adults","guided self-help","diagnosis","cbt-based","other ctr","europe","some concern"
"johansson, 2012b",437,0.790395736936628,0.0576708588918099,"adults","guided self-help","diagnosis","cbt-based","other ctr","europe","some concern"
"johansson, 2019",438,1.53786227873518,0.0966212155360228,"adults","guided self-help","diagnosis","cbt-based","wl","europe","low"
"johansson, 2019",439,1.58592277536805,0.0980525001328445,"adults","guided self-help","diagnosis","cbt-based","wl","europe","low"
"jordans, 2019",448,0.409256807303355,0.0340401889125088,"adults","individual","diagnosis","cbt-based","cau","other region","low"
"keeley, 2016",455,0.401689785475753,0.0243482342156942,"adults","individual","diagnosis","not-cbt-based","cau","north america","low"
"kenter, 2016",461,-0.0731200460642744,0.0148817320970349,"adults","guided self-help","diagnosis","cbt-based","wl","europe","low"
"kessler, 2009",462,0.606813243520199,0.0200419202154362,"adults","guided self-help","diagnosis","cbt-based","wl","europe","low"
"kivi, 2014",468,-0.15705752940781,0.0658587693675196,"adults","guided self-help","diagnosis","cbt-based","cau","europe","some concern"
"korrelboom, 2012",477,0.786231275568555,0.0707901672663783,"adults","group","diagnosis","not-cbt-based","wl","europe","low"
"kramer, 2021",482,0.518193516109849,0.030416514739483,"adults","guided self-help","cut-off score","cbt-based","wl","europe","some concern"
"lamers, 2015",489,0.343796186684115,0.0349990086024825,"adults","guided self-help","cut-off score","not-cbt-based","wl","europe","low"
"lappalainen, 2015",496,0.624742320898388,0.110913574743826,"adults","guided self-help","diagnosis","cbt-based","wl","europe","some concern"
"lee, 2021",501,0.397737049024524,0.110126218823671,"adults","group","diagnosis","cbt-based","cau","east asia","low"
"lee, 2021",502,0.521569088921661,0.111688990740253,"adults","group","diagnosis","cbt-based","cau","east asia","low"
"lemma, 2013",505,-0.115019225666084,0.250462497716061,"adults","other formats","cut-off score","not-cbt-based","other ctr","europe","some concern"
"lemma, 2013",506,-0.268986376198162,0.252529468536256,"adults","other formats","cut-off score","not-cbt-based","other ctr","europe","some concern"
"liu, 2009",524,0.292901773785373,0.0778874006613881,"adults","guided self-help","cut-off score","cbt-based","wl","east asia","some concern"
"lovell, 2008",535,0.27290135358518,0.0970308769618479,"adults","individual","cut-off score","cbt-based","cau","europe","some concern"
"lovell, 2008",536,0.0897356635364092,0.100355404694135,"adults","individual","cut-off score","cbt-based","cau","europe","some concern"
"lynch, 1997",544,0.929958266602528,0.185849300699301,"adults","other formats","subclinical depression","cbt-based","cau","north america","some concern"
"lynch, 2019",549,0.452267911324546,0.0249570315897334,"adults","other formats","diagnosis","not-cbt-based","cau","europe","low"
"lynch, 2019",550,0.43048772836152,0.0249040612765276,"adults","other formats","diagnosis","not-cbt-based","cau","europe","low"
"maclean, 2020",553,0.170454545454545,0.043174548844114,"adults","guided self-help","cut-off score","not-cbt-based","other ctr","north america","some concern"
"macpherson, 2013",554,0.181047664117501,0.0114073162484187,"adults","individual","cut-off score","not-cbt-based","cau","europe","low"
"macpherson, 2013",555,0.27819068221913,0.0121383627962523,"adults","individual","cut-off score","not-cbt-based","cau","europe","low"
"mahmoodi, 2021",556,1.14275960206214,0.11225995128437,"adults","individual","cut-off score","cbt-based","wl","other region","some concern"
"mahmoodi, 2021",557,1.33260896662749,0.120606095580441,"adults","individual","cut-off score","cbt-based","wl","other region","some concern"
"maina, 2005",558,1.08812780194462,0.23226997985225,"adults","individual","diagnosis","not-cbt-based","wl","europe","some concern"
"maina, 2005",559,1.15345571665039,0.236261079774376,"adults","individual","diagnosis","not-cbt-based","wl","europe","some concern"
"matsuzaka, 2017",568,-0.0406451109479119,0.0506516888795388,"adults","individual","diagnosis","not-cbt-based","cau","other region","low"
"matsuzaka, 2017",569,0.0732883387773034,0.0506756947158392,"adults","individual","diagnosis","not-cbt-based","cau","other region","low"
"mcclay, 2015",573,0.845921709242889,0.200905878275213,"adults","group","cut-off score","cbt-based","wl","europe","some concern"
"miller, 2002",608,0.449695972054195,0.136893621832674,"adults","other formats","cut-off score","not-cbt-based","cau","north america","some concern"
"mukhtar, 2011",629,4.82728506180715,0.139943233715546,"adults","group","diagnosis","cbt-based","wl","east asia","some concern"
"mynors-wallis, 1995",637,0.689647860158215,0.0773936857211169,"adults","individual","diagnosis","cbt-based","other ctr","europe","some concern"
"mynors-wallis, 1995",638,0.662882248733719,0.0770550212279442,"adults","individual","diagnosis","cbt-based","other ctr","europe","some concern"
"naeem, 2013",641,1.11569300454167,0.0253036670860575,"adults","guided self-help","diagnosis","cbt-based","cau","other region","low"
"naeem, 2015",643,0.859565258856182,0.0319254473489529,"adults","other formats","diagnosis","cbt-based","cau","other region","low"
"nakagawa, 2017",644,0.241338178375363,0.0503711516734924,"adults","individual","diagnosis","cbt-based","cau","east asia","low"
"nakagawa, 2017",645,0.838801002013922,0.0544835007173601,"adults","individual","diagnosis","cbt-based","cau","east asia","low"
"nakagawa, 2017",646,0.106956808927435,0.0500728981046493,"adults","individual","diagnosis","cbt-based","cau","east asia","low"
"nasrin, 2017",651,1.74233729326965,0.155556433888033,"adults","individual","diagnosis","cbt-based","wl","europe","some concern"
"newby, 2014",653,0.0985759894185636,0.100126439499038,"adults","individual","cut-off score","cbt-based","cau","australia","some concern"
"nezu, 1986",660,0.401110951712766,0.28383210183035,"adults","group","diagnosis","cbt-based","wl","north america","some concern"
"nezu, 1986",661,1.4116793495477,0.352768708941384,"adults","group","diagnosis","cbt-based","wl","north america","some concern"
"nezu, 1986",662,2.00920734007074,0.389370645268087,"adults","group","diagnosis","cbt-based","wl","north america","some concern"
"nezu, 1986",663,4.44387773714147,0.902298894597488,"adults","group","diagnosis","cbt-based","wl","north america","some concern"
"nezu, 1989",668,1.80663032004733,0.232142580962032,"adults","group","diagnosis","cbt-based","wl","north america","some concern"
"nezu, 1989",669,1.31261432418307,0.199186323625634,"adults","group","diagnosis","cbt-based","wl","north america","some concern"
"nezu, 1989",670,3.09000363591247,0.366542213406038,"adults","group","diagnosis","cbt-based","wl","north america","some concern"
"nezu, 1989",671,2.61226309979487,0.308279989609397,"adults","group","diagnosis","cbt-based","wl","north america","some concern"
"nyström, 2017",683,0.972768358252414,0.0388740489373489,"adults","guided self-help","diagnosis","cbt-based","wl","europe","low"
"nyström, 2017",684,0.649093028375113,0.0413728015340464,"adults","guided self-help","diagnosis","cbt-based","wl","europe","low"
"oehler, 2020",699,0.23283409462597,0.0152626100223018,"adults","guided self-help","diagnosis","cbt-based","other ctr","europe","some concern"
"oehler, 2020",700,0.134744947064485,0.0153055851768781,"adults","guided self-help","diagnosis","cbt-based","other ctr","europe","some concern"
"omidi, 2013",703,1.63338619469997,0.0894885132206329,"adults","group","diagnosis","cbt-based","cau","other region","some concern"
"omidi, 2013",704,1.53193030178804,0.0867414576917437,"adults","group","diagnosis","cbt-based","cau","other region","some concern"
"patel, 2017",714,0.517914162023191,0.00887385327319719,"adults","individual","cut-off score","cbt-based","cau","other region","low"
"perini, 2009",723,0.613846944168396,0.100300564407416,"adults","guided self-help","diagnosis","cbt-based","wl","australia","some concern"
"perini, 2009",724,0.22248726360447,0.0964438408054144,"adults","guided self-help","diagnosis","cbt-based","wl","australia","some concern"
"perini, 2009",725,0.846990515129698,0.100850846696923,"adults","guided self-help","diagnosis","cbt-based","wl","australia","some concern"
"pihlaja, 2020",730,0.471482712852266,0.0411287340214642,"adults","guided self-help","diagnosis","cbt-based","cau","europe","some concern"
"pots, 2014",734,0.492982451150006,0.0273041456110598,"adults","group","cut-off score","cbt-based","wl","europe","low"
"pots, 2016",736,0.558164497436362,0.0246194610822538,"adults","guided self-help","cut-off score","cbt-based","wl","europe","low"
"psarraki, 2021",765,0.633486997519617,0.0679024729530786,"adults","other formats","diagnosis","not-cbt-based","cau","europe","some concern"
"psarraki, 2021",766,0.444463483541451,0.0662172213304263,"adults","other formats","diagnosis","not-cbt-based","cau","europe","some concern"
"rehm, 1981",782,1.28180613511865,0.282875184817925,"adults","group","cut-off score","not-cbt-based","wl","north america","some concern"
